name,population,country,page,latitude,longitude
ATHYF,394,SHYNABYTH,356,46o35’N,0o5’W
ATHYK,661,KHYDOBAN DESERT,371,40o45’N,11o20’E
ATOYD,306,DRHOKKER,364,45o25’N,9o0’E
ATUKK,591,THARGGY,367,42o0’N,2o40’E
AVGEYD,347,REANAARIA BAY,365,44o35’N,10o55’E
AVLDEN,624,COSDOL,290,46o45’N,12o35’W
AYDEN,426,ELDOR,294,45o20’N,14o45’W
BADAF,523,THYBAJ,367,43o15’N,4o5’E
BADDEN,455,MENDARN,303,38o20’N,18o0’W
BAEEUN,633,FAUTEE PENINSULA,378,32o25’N,5o20’E
BAETHEL,7500,NANAKARY FOREST,373,38o10’N,8o30’E
BAEXOUR,467,COUNAI HEIGHTS,319,36o55’N,4o30’E
BAGASI,354,PRIVBOLSIAN ISLANDS,306,35o55’N,23o20’W
BAH,379,PARU'BOR,344,45o0’N,3o0’W
BAHUNIDO,1350,TOKIS,312,38o30’N,4o40’W
BAIMUUM,605,NANAKARY FOREST,373,38o15’N,9o20’E
BAIRUIM,555,REANAARIA BAY,372,39o55’N,6o30’E
BAKA'IDO,937,KALAMAR,318,34o25’N,0o30’E
BAKK,694,TORAKK,356,48o20’N,1o45’E
BAKO,594,SLEN,340,48o50’N,2o10’W
BAKOWIDO,1219,KALAMAR,322,33o10’N,0o10’W
BALELIDO,6400,TARISATO,326,30o35’N,2o15’E
BALIDU,717,KALAMAR,322,32o25’N,0o15’E
BALVEN,1666,ELDOR,299,42o50’N,16o0’W
BAMIDU,675,KALAMAR,321,33o50’N,1o40’W
BANETA,16000,PEKAL,346,40o30’N,6o10’W
BAPUWIDO,1184,DODERA,366,41o25’N,0o20’W
BAR,370,KALAMAR,322,32o20’N,1o0’E
BARIDO,5300,EK'KASEL,342,44o30’N,7o15’W
BARIUN,488,FAUTEE FOREST,378,33o15’N,5o25’E
BASHON,1112,SHYNABYTH,340,47o55’N,0o45’W
BASIDU,875,KALAMAR,322,31o50’N,0o20’E
BASIDU,433,KALAMAR,322,32o40’N,1o50’E
BATIDU,591,PARU'BOR,347,42o50’N,4o20’E
BATULLAGH,7900,TARISATO,329,28o10’N,4o25’E
BAVFARR,495,SKARRNA,364,44o55’N,8o25’E
BAXOOR,873,FAUTEE PENINSULA,378,32o0’N,6o30’E
BEBAPIDU,578,PARU'BOR,344,45o15’N,2o20’W
BEBETA,8100,DODERA,314,38o10’N,0o30’W
BEBOTIDO,1873,PARU'BOR,344,44o50’N,2o25’W
BEDEN,552,MENDARN,304,39o25’N,17o10’W
BEDETHIDU,834,KALAMAR,325,30o30’N,2o10’E
BEDIBIDO,2759,KALAMAR,316,35o10’N,4o25’W
BEDIDO,1568,BASIR,316,35o0’N,5o45’W
BEDIDU,479,KALAMAR,322,33o15’N,1o15’E
BEGIDU,448,PARU'BOR,344,44o0’N,2o55’W
BEKK,419,DRHOKKER,363,45o10’N,5o45’E
BEKURRA,1401,THARGGY,367,41o25’N,2o55’E
BELIWIDU,563,TARISATO,329,28o20’N,3o20’E
BENIDO,1494,TOKIS,312,39o5’N,4o25’W
BENIDU,556,KALAMAR,318,36o25’N,0o35’E
BEPIDO,2263,KALAMAR,322,33o30’N,0o5’W
BEPIDU,844,KALAMAR,322,33o25’N,0o25’W
BEPIKAL,397,PEKAL,347,40o25’N,5o30’E
BESAFIDU,408,KALAMAR,325,30o45’N,1o20’E
BESVEN,994,ELDOR,294,44o45’N,15o10’W
BET BIRELI,10600,O'PAR,348,42o55’N,0o50’E
BET DODERA,17900,DODERA,366,40o40’N,0o5’E
BET KALAMAR,310000,KALAMAR,325,31o20’N,0o0“???
BET KASEL,10300,EK'KASEL,346,42o55’N,8o0’W
BET REGOR,23300,PARU'BOR,344,44o50’N,2o25’W
BET ROGALA,20900,PEKAL,347,42o10’N,4o45’E
BET SEDER,47800,TOKIS,312,39o25’N,4o20’W
BET URALA,53300,BASIR,315,35o30’N,6o20’W
BETASA,13970,EK'GAKEL,343,46o15’N,5o10’W
BETIDO,1749,KALAMAR,321,32o5’N,1o5’W
BETKUBAGH,589,TARISATO,326,29o10’N,3o20’E
B'FAGIDO,1393,PEKAL,346,42o15’N,6o20’W
BHARR,522,SKARRNA,364,44o40’N,9o15’E
BHARR,442,THARGGY,366,42o30’N,1o0’E
BHIJY,2069,SKARRNA,370,42o15’N,9o20’E
BHIRR,1579,SKARRNA,364,43o55’N,8o30’E
BHIRRA,1182,SKARRNA,370,42o20’N,8o50’E
BHIYD,565,TORAKK,357,48o55’N,2o50’E
BHOR,639,DRHOKKER,357,46o25’N,4o55’E
BHORKK,364,DRHOKKER,357,47o35’N,4o50’E
BHYR,804,SKARRNA,370,42o40’N,8o50’E
BHYRKK,442,TORAKK,357,48o55’N,3o40’E
BHYTHAR,797,DRHOKKER,365,45o5’N,11o0’E
BIBEPIDU,593,KALAMAR,322,32o30’N,1o45’E
BID,369,KALAMAR,316,36o10’N,4o5’W
BIHAWIDO,2056,TOKIS,313,38o20’N,1o50’W
BIH'GIKIDO,625,KORAK,341,45o30’N,9o50’W
BIIRESAIL,421,FAUTEE FOREST,378,33o0’N,6o5’E
BIKA'IDO,1846,KALAMAR,322,32o10’N,0o25’W
BIKIDU,520,DODERA,313,37o50’N,1o25’W
BIL,368,KALAMAR,317,37o15’N,3o15’W
BILDEN,774,MENDARN,304,39o30’N,15o45’W
BILIDO,1722,KALAMAR,316,35o10’N,4o20’W
BIMOD,304,KALAMAR,321,33o55’N,1o10’W
BINAGH,578,TARISATO,326,30o55’N,3o5’E
BIPIDU,755,PARU'BOR,343,44o30’N,4o10’W
BIRIDO,965,PEKAL,346,41o45’N,7o15’W
BIRIRELIDO,6300,BASIR,316,35o10’N,4o25’W
BIROLASIDU,566,KALAMAR,317,35o25’N,2o45’W
BISPVEN,1760,COSDOL,285,50o5’N,14o25’W
BISVEN,1160,MENDARN,304,39o45’N,16o25’W
BIT,391,BASIR,320,32o50’N,5o0’W
BITHIDU,456,KALAMAR,321,33o50’N,1o20’W
BITIT,954,SKARRNA,364,43o35’N,8o30’E
BITUNIDU,673,KALAMAR,318,36o20’N,0o25’W
BIVIDO,1132,KALAMAR,318,34o40’N,0o55’E
BIYDEN,343,LABROLDIAN ISLANDS,308,36o0’N,19o50’W
BLASDEN,818,ELDOR,293,44o45’N,18o55’W
BLAVLVEN,1218,ELDOR,299,42o20’N,15o25’W
BLAYVEN,1688,PEL BROLENON,309,36o20’N,15o10’W
BLEBDEN,427,MENDARN,307,37o0’N,20o10’W
BLERDEN,616,COSDOL,290,48o5’N,13o30’W
BLIHDEN,463,ELDOR,293,44o5’N,17o55’W
BLILDEN,629,ELDOR,294,45o40’N,14o50’W
BLINDDEN,398,DELNONDRIAN ISLANDS,296,42o50’N,23o55’W
BLIPDEN,560,MENDARN,303,38o45’N,17o50’W
BLIVDEN,442,ELDOR,298,43o0’N,17o50’W
BLIVRDEN,479,COSDOL,285,49o50’N,13o25’W
BLOCDEN,840,MENDARN,303,38o50’N,17o20’W
BLOLNDEN,578,ELDOR,300,41o0’N,14o25’W
BLONVVEN,1781,PEL BROLENON,309,36o30’N,16o45’W
BLOSPDEN,325,DELNONDRIAN ISLANDS,297,41o40’N,22o10’W
BLOYDEN,408,MENDARN,303,38o15’N,18o15’W
BLURLVEN,936,LABROLDIAN ISLANDS,308,35o45’N,19o30’W
BLUSPVEN,915,MENDARN,308,36o55’N,19o25’W
BOFIDU,437,KALAMAR,321,34o5’N,1o20’W
BOHAZH,460,TARISATO,326,29o30’N,3o45’E
BOIVI,RUINS,COUNAI HEIGHTS,368,37o25’N,3o45’E
BOKKAZH,500,UL-KARG,406,28o0’N,18o20’W
BOLNDEN,320,MENDARN,304,37o45’N,17o5’W
BOLNIDU,665,KORAK,341,43o50’N,10o0’W
BOLNVEN,1276,COSDOL,290,48o5’N,14o25’W
BOMIDU,468,EK'GAKEL,343,45o35’N,4o45’W
BONDDEN,559,ELDOR,299,40o45’N,15o55’W
BONINIDO,763,TOKIS,312,40o10’N,3o45’W
BOPUHIDU,842,KALAMAR,319,36o25’N,2o20’E
BORATHIDU,574,TOKIS,312,39o50’N,4o5’W
BORR,536,DRHOKKER,364,45o50’N,7o55’E
BOTHIKA'IDU,493,KALAMAR,321,33o0’N,0o50’W
BOTTKETHVAZH,454,UL-KARG,407,28o15’N,16o20’W
BOVIDU,537,KALAMAR,318,35o0’N,0o25’E
BOWORIDU,576,O'PAR,348,41o45’N,0o50’E
BRALDDEN,832,ELDOR,298,42o50’N,17o45’W
BRANDDEN,573,ELDOR,299,42o45’N,16o10’W
BRASDEN,559,MENDARN,303,37o55’N,18o0’W
BRASPDEN,490,MENDARN,304,40o5’N,15o20’W
BREBVEN,1426,ELDOR,293,44o10’N,18o5’W
BREFDEN,631,MENDARN,304,39o50’N,14o45’W
BREHDEN,535,COSDOL,290,47o10’N,14o30’W
BREHDEN,419,ELDOR,298,42o40’N,17o30’W
BRENDEN,747,COSDOL,285,50o0’N,13o10’W
BREVEN,5000,MENDARN,304,39o50’N,15o0’W
BREYDEN,813,PEL BROLENON,309,37o0’N,15o25’W
BRHUFAGH,1334,UL-KARG,399,28o55’N,15o15’W
BRIDDEN,633,ELOS DESERT,311,39o0’N,7o40’W
BRILDVEN,1199,ELDOR,293,43o35’N,17o20’W
BRINDEN,375,LABROLDIAN ISLANDS,308,36o5’N,19o35’W
BRIVDEN,473,PEL BROLENON,309,36o10’N,15o35’W
BROLDDEN,440,ELDOR,294,44o25’N,17o10’W
BRONDEN,846,ELOS DESERT,350,35o40’N,9o35’W
BRONISH,8000,BRONISH,397,31o5’N,20o30’W
BRONVEN,4400,ELDOR,299,42o30’N,16o40’W
BRONVVEN,964,ELDOR,294,46o0’N,17o0’W
BRORNDEN,323,MENDARN,303,37o55’N,18o35’W
B'SIDU,736,KALAMAR,322,32o50’N,2o10’E
BUBIDO,1530,TOKIS,312,39o30’N,3o35’W
BUCHIDURR,410,DRHOKKER,363,45o35’N,7o0’E
BUDATHISIDO,936,DODERA,313,38o20’N,1o35’W
BUDIDU,711,KALAMAR,316,36o5’N,3o50’W
BUENAA,760,REANAARIA BAY,372,39o45’N,6o25’E
BUGEKEKIDU,652,KALAMAR,317,34o55’N,1o55’W
BUGIDO,1657,BASIR,316,34o40’N,4o45’W
BUGIDO,2667,KALAMAR,320,33o35’N,3o25’W
BUHIDU,507,KALAMAR,323,32o5’N,3o20’E
BULADIDU,756,EK'KASEL,346,42o35’N,7o55’W
BULAGIDO,1104,P'BAPAR,337,46o45’N,10o5’W
BULAREN,647,EK'GAKEL,342,45o40’N,7o30’W
BULASVEN,1407,P'BAPAR,337,46o45’N,10o15’W
BULIDU,827,KALAMAR,318,35o35’N,0o40’E
BULIVIDU,460,P'BAPAR,337,47o5’N,9o50’W
BULIWIDO,1169,EK'GAKEL,343,45o30’N,4o40’W
BUMRITAGH,1369,TARISATO,329,27o55’N,4o20’E
BUMURIDU,665,KALAMAR,317,37o5’N,1o30’W
BUNIDU,785,KALAMAR,323,32o55’N,2o35’E
BURDDEN,525,MENDARN,304,40o15’N,15o35’W
BUREKA'IDU,431,KALAMAR,317,37o40’N,0o30’W
BURKK,566,THARGGY,366,40o50’N,1o15’E
BURLVEN,1409,MENDARN,304,38o40’N,16o50’W
BURZUMAGH,27548,UL-KARG,399,29o10’N,17o0’W
BUSILIDU,865,KALAMAR,323,31o35’N,2o25’E
BUTHIDU,734,KALAMAR,321,32o25’N,1o0’W
BUVAZH,213,NORGA-KRANGREL,341,43o25’N,11o30’W
BUVDEN,818,ELDOR,294,44o10’N,15o20’W
BUWDEN,676,MENDARN,303,37o35’N,19o30’W
BUWIDU,568,KALAMAR,316,35o25’N,3o50’W
BUWIDU,497,BASIR,320,33o35’N,5o20’W
BYBAF,481,KHYDOBAN DESERT,371,40o35’N,11o15’E
BYJEJ,335,SHYNABYTH,340,47o50’N,1o5’W
BYJOF,338,SHYNABYTH,356,47o40’N,0o5’E
BYKSHA,4900,SHYNABYTH,356,46o55’N,0o10’W
BYNARR,19800,THARGGY,366,41o25’N,1o20’E
BYSHOF,469,THYBAJ,367,41o55’N,3o55’E
BYSHYNTH,423,SHYNABYTH,361,46o10’N,1o25’E
BYSLER,396,SHYNABYTH,356,46o45’N,0o45’E
BYTOBA,376,LABROLDIAN ISLANDS,307,35o20’N,20o15’W
CABVEN,905,ELDOR,293,43o35’N,17o35’W
CASPDEN,387,PRIVBOLSIAN ISLANDS,307,36o40’N,20o50’W
CASVEN,1437,ELDOR,299,42o5’N,15o45’W
CAVRDEN,331,KORAK,341,45o35’N,10o30’W
CAVRDEN,494,MENDARN,304,38o30’N,17o10’W
CEORAIZ,452,REANAARIA BAY,372,40o5’N,6o10’E
CERDVEN,1868,ELDOR,299,43o5’N,16o10’W
CEVRDEN,1193,ELDOR,293,44o25’N,18o30’W
CEYVEN,1754,ELDOR,293,45o55’N,17o45’W
CHOBYTH,605,THYBAJ,362,43o55’N,4o20’E
CHODASA,623,PRIVBOLSIAN ISLANDS,306,36o10’N,24o20’W
CHOJY,419,SHYNABYTH,361,46o10’N,0o35’E
CHOKYJ,455,THYBAJ,368,39o30’N,4o25’E
CHOSHYR,461,THYBAJ,367,42o10’N,4o20’E
CIANGRIA,522,NANAKARY FOREST,373,38o10’N,9o10’E
CICDEN,317,DELNONDRIAN ISLANDS,296,42o15’N,25o0’W
CILOREALON,9900,KALALALI FOREST,343,44o5’N,5o30’W
CINDVEN,1958,MENDARN,304,40o5’N,17o15’W
COELUDO,1115,FAUTEE PENINSULA,381,31o15’N,6o30’E
COSOLEN,39100,COSDOL,289,47o0’N,15o10’W
CRALDEN,535,MENDARN,304,39o10’N,16o35’W
CRANDOLEN,18100,COSDOL,289,47o30’N,16o50’W
CRANDON,1225,ELOS DESERT,311,39o5’N,7o45’W
CRASPDEN,677,ELDOR,294,44o45’N,15o35’W
CRAVRDEN,419,ELDOR,294,45o15’N,17o5’W
CRAWDEN,417,ELDOR,294,45o25’N,15o45’W
CREHDEN,386,MENDARN,304,39o20’N,15o25’W
CRENOLM,1621,PEKAL,347,41o35’N,4o20’E
CRIVEN,1237,ELDOR,298,42o55’N,17o35’W
CRIZDEN,841,MENDARN,308,36o50’N,19o40’W
CRIZVEN,1424,ELDOR,299,41o10’N,15o40’W
CROLDEN,540,ELOS DESERT,350,35o35’N,9o35’W
CROLDVEN,1016,ELDOR,294,43o45’N,17o5’W
CROLVEN,1602,ELDOR,293,43o20’N,18o10’W
CROLVEN,1768,PEL BROLENON,309,36o35’N,15o50’W
CROTVEN,1024,PEL BROLENON,309,36o50’N,15o50’W
CRUFDEN,349,LABROLDIAN ISLANDS,308,36o10’N,19o25’W
CRUGVEN,1347,MENDARN,303,39o5’N,17o40’W
CUMDEN,522,ELDOR,299,40o35’N,15o35’W
CUNVDEN,870,COSDOL,289,47o40’N,14o45’W
CUOVIGUOR,700,FAUTEE PENINSULA,378,32o20’N,5o40’E
CURDVEN,962,ELDOR,294,45o50’N,15o0’W
CUSDEN,455,ELDOR,299,40o35’N,16o0’W
CUZITEUR,432,ASIOTUXOO ISLANDS,375,34o40’N,5o5’E
DADAL,496,PRIVBOLSIAN ISLANDS,307,36o10’N,22o40’W
DADAN,466,KHYDOBAN DESERT,373,39o35’N,10o20’E
DADRAF,551,KHYDOBAN DESERT,370,40o35’N,10o35’E
DAFIDEN,483,KORAK,341,44o30’N,10o20’W
DAGGHEPKU,460,UL-KARG,398,28o55’N,17o25’W
DAHIDU,505,TOKIS,312,38o0’N,4o15’W
DAKA'IDU,639,BASIR,320,33o55’N,4o55’W
DAKIDO,1785,EK'GAKEL,343,45o50’N,5o20’W
DAKIDU,780,EK'KASEL,346,43o15’N,6o45’W
DAKYNO,5000,THYBAJ,367,43o10’N,4o35’E
DALAAN,444,PRIVBOLSIAN ISLANDS,306,36o15’N,23o5’W
DALDVEN,960,ELDOR,293,44o5’N,18o10’W
DALEDEN,650,PEL BROLENON,308,36o0’N,17o45’W
DALEN,98100,ELDOR,298,42o40’N,17o35’W
DALENDEN,386,ELOS DESERT,350,35o25’N,9o0’W
DALMDEN,446,COSDOL,285,49o40’N,13o30’W
DALOTH,426,DRHOKKER,358,46o15’N,7o5’E
DALREN,548,ELOS DESERT,311,39o15’N,7o5’W
DALVEN,428,ELOS DESERT,311,39o45’N,8o0’W
DANDDEN,848,ELDOR,294,45o40’N,17o5’W
DAORMIA,771,NANAKARY FOREST,373,38o0’N,8o25’E
DARESIDO,6300,KORAK,341,45o40’N,9o15’W
DAROVETIDO,1508,KALAMAR,323,31o30’N,2o40’E
DARTRIN,691,DRHOKKER,363,45o35’N,7o20’E
DARUK,11200,none,344,44o10’N,0o45’W
DAS,289,TARISATO,326,29o50’N,2o20’E
DASDEN,403,COSDOL,285,50o55’N,13o40’W
DASEWIDO,1240,KALAMAR,322,32o20’N,0o0’W
DASHASH,1407,THYBAJ,367,40o30’N,4o20’E
DASHYSH,398,SHYNABYTH,361,45o10’N,0o25’E
DATHIDU,582,KALAMAR,318,34o45’N,0o15’E
DAWIDU,760,KALAMAR,317,35o5’N,2o50’W
DAYOLEN,13900,MENDARN,307,36o50’N,20o25’W
DAYVEN,862,BRONISH,397,31o5’N,20o30’W
DEDIDU,438,KALAMAR,322,34o0’N,0o0’W
DEFASODEN,462,PRIVBOLSIAN ISLANDS,307,36o15’N,21o30’W
DEFIDO,574,KORAK,342,44o0’N,8o20’W
DEG'DUN,397,KALAMAR,322,34o0’N,0o20’E
DEGIDU,761,KALAMAR,322,34o5’N,2o5’E
DEMARIDU,740,KALAMAR,322,32o30’N,0o45’E
DENAMIDO,1432,KALAMAR,321,32o40’N,1o20’W
DEP,377,KALAMAR,317,36o20’N,2o40’W
DEPIDU,528,P'BAPAR,337,47o55’N,10o5’W
DEPITIDU,645,KALAMAR,321,32o10’N,1o0’W
DERKK,1120,SKARRNA,370,42o15’N,8o5’E
DERKK-NARR,686,DRHOKKER,363,46o0’N,7o45’E
DERON,679,SLEN,340,49o10’N,1o55’W
DERORIDU,666,P'BAPAR,341,46o0’N,9o50’W
DESPVEN,1956,MENDARN,303,37o30’N,19o35’W
DETHIDO,1273,PEKAL,346,42o50’N,6o55’W
DETHYJ,409,SLEN,340,48o40’N,1o15’W
DETOKA'ANIDO,1229,KALAMAR,325,29o55’N,1o15’E
DEVGGAR,378,SKARRNA,363,45o5’N,6o15’E
DEVTHOHZAZH,435,UL-KARG,407,28o10’N,16o50’W
DEWIDO,429,KORAK,342,44o45’N,8o45’W
DEWIDO,1668,EK'GAKEL,343,45o10’N,4o40’W
DEWIDO,2121,KALAMAR,321,33o30’N,1o20’W
DEWVEN,1476,MENDARN,308,36o50’N,19o10’W
DHERR,393,DRHOKKER,358,47o5’N,6o0’E
DHETHARR,1979,SKARRNA,364,43o25’N,8o20’E
DHORR,383,THARGGY,367,42o20’N,3o25’E
DIBILIDU,564,KALAMAR,322,34o15’N,0o10’W
DIBUMIDU,623,PARU'BOR,344,45o35’N,2o35’W
DIDVEN,1435,MENDARN,303,38o40’N,17o45’W
DIGIDU,632,KALAMAR,323,31o50’N,3o5’E
DIIVEN,404,FAUTEE FOREST,323,33o20’N,4o50’E
DIJISHY,6446,ELOS DESERT,305,39o5’N,12o25’W
DIKAGH,674,UL-KARG,399,29o20’N,16o40’W
DIKIDU,663,PARU'BOR,343,44o50’N,3o55’W
DIKOKIDU,789,TARISATO,325,29o20’N,1o50’E
DILIDU,647,DODERA,313,37o45’N,2o10’W
DILPETAGH,1011,TARISATO,326,29o40’N,3o35’E
DIMETA,1935,KORAK,342,44o10’N,8o45’W
DIMIDU,527,PARU'BOR,343,45o15’N,4o20’W
DIN,357,KALAMAR,318,35o50’N,1o10’E
DINERIG'HIDO,1163,EK'GAKEL,342,44o55’N,6o50’W
DINIMEKA'IDO,695,PEKAL,346,41o40’N,7o5’W
DIPETHIDU,621,TARISATO,326,28o45’N,2o55’E
DIREVIDO,1196,EK'GAKEL,343,46o5’N,5o15’W
DIROCDEN,690,P'BAPAR,337,46o25’N,10o30’W
DIROSIPIDO,486,none,346,41o50’N,7o30’W
DIRPLADEN,853,EK'GAKEL,343,45o45’N,4o0’W
DISIDO,788,TOKIS,347,40o25’N,3o45’E
DITHEFIDU,525,PARU'BOR,344,44o50’N,1o55’W
DITHEMIDU,716,PARU'BOR,347,42o55’N,4o10’E
DIUZUOR,693,FAUTEE PENINSULA,378,32o30’N,6o20’E
DIVIDO,2317,KALAMAR,317,37o15’N,0o45’W
DIWAMOHIDU,532,KALAMAR,321,32o50’N,0o35’W
DIWIDU,774,PEKAL,346,41o55’N,7o5’W
DIZKUOR,401,NANAKARY FOREST,373,38o35’N,9o10’E
DOERRUAM,939,NANAKARY FOREST,373,38o20’N,8o30’E
DOFIDO,1924,KALAMAR,322,31o40’N,0o20’E
DOK,397,KALAMAR,318,35o35’N,1o5’E
DOKIDO,1134,KALAMAR,317,34o30’N,1o35’W
DOLAHIDU,435,KALAMAR,318,35o20’N,1o5’E
DOLIDU,762,KALAMAR,322,32o25’N,0o20’W
DONVVEN,998,PEL BROLENON,309,35o45’N,15o40’W
DOPVEN,3600,MENDARN,303,37o40’N,19o25’W
DORIDU,740,TARISATO,326,29o35’N,2o35’E
DORNDERN,2800,COSDOL,285,51o20’N,13o40’W
DOROTHIDU,412,KALAMAR,321,33o20’N,0o45’W
DORVEN,1567,COSDOL,285,50o20’N,14o5’W
DOSDEN,476,ELDOR,294,44o30’N,15o45’W
DOTETA,1523,KORAK,342,43o50’N,8o10’W
DOTIDU,487,KALAMAR,321,32o45’N,0o45’W
DOULATHANORIAN,18000,EDOSI FOREST,316,36o10’N,5o15’W
DOULEIR,356,KEENORA TORS,372,37o45’N,5o50’E
DOVILIDO,986,TOKIS,347,41o0’N,3o30’E
DOWOND-BRANDEL,86100,PEL BROLENON,309,35o50’N,15o35’W
DRABA,310,SHYNABYTH,344,46o0’N,1o0’W
DRACDEN,483,MENDARN,308,37o0’N,19o15’W
DRADRAJ,348,SHYNABYTH,361,46o5’N,0o15’E
DRAFYF,479,KHYDOBAN DESERT,374,39o55’N,10o55’E
DRAJON,527,KHYDOBAN DESERT,371,40o40’N,10o50’E
DRAKK,657,THARGGY,366,42o35’N,2o5’E
DRALDON,772,ELOS DESERT,311,38o45’N,7o25’W
DRALVEN,3000,ELDOR,298,42o15’N,18o30’W
DRAVDEN,603,VRANDOL,397,29o10’N,22o20’W
DREGVEN,1838,MENDARN,303,37o35’N,18o35’W
DRELMDEN,491,ELDOR,293,43o50’N,17o20’W
DRENDDEN,812,MENDARN,304,39o0’N,16o50’W
DRENDIDU,435,KORAK,341,45o30’N,10o15’W
DREYDEN,794,ELDOR,299,43o0’N,15o35’W
DRHARR,1026,DRHOKKER,362,45o25’N,3o45’E
DRHAV,707,SKARRNA,364,44o25’N,8o30’E
DRHETH,423,DRHOKKER,358,46o35’N,6o30’E
DRHORR,336,DRHOKKER,359,46o25’N,9o40’E
DRHOTH,410,TORAKK,357,47o25’N,3o25’E
DRHU,1139,THARGGY,368,40o10’N,2o35’E
DRHUN,1481,THARGGY,366,41o20’N,2o10’E
DRHURKK,433,DRHOKKER,358,46o45’N,7o25’E
DRHUYL,783,DRHOKKER,358,46o50’N,7o45’E
DRHYFF,675,THARGGY,367,41o0’N,2o20’E
DRIDEN,540,COSDOL,290,46o40’N,13o20’W
DRINDDEN,605,PEL BROLENON,309,36o15’N,15o30’W
DRIRDVEN,1675,ELDOR,300,41o0’N,14o5’W
DRIVLDEN,359,KORAK,341,45o45’N,10o25’W
DRIVLDEN,378,MENDARN,304,39o45’N,16o35’W
DRURNVEN,1035,ELDOR,294,45o5’N,15o20’W
DRUSDEN,863,ELDOR,299,42o25’N,15o0’W
DRUTVEN,1093,ELDOR,294,45o10’N,16o0’W
DUBIDO,1342,KALAMAR,321,33o45’N,2o35’W
DUFIDO,990,TOKIS,313,40o15’N,2o5’W
DUHIDO,2346,O'PAR,348,41o30’N,1o50’E
DUHOKA'IDU,540,KALAMAR,321,33o0’N,0o55’W
DUK'DUBIDU,700,EK'KASEL,342,44o40’N,7o15’W
DUKHAGH,654,UL-KARG,398,28o40’N,18o20’W
DUKIDU,611,KALAMAR,322,34o5’N,0o45’E
DUKK,785,THARGGY,366,41o15’N,1o25’E
DUNIDO,2031,KALAMAR,321,32o20’N,0o35’W
DUNVVEN,1281,PEL BROLENON,309,36o30’N,16o10’W
DUPAKIDO,1694,PEKAL,347,42o15’N,4o10’E
DUPIDO,858,KORAK,341,43o20’N,9o25’W
DUR,374,TARISATO,329,28o0’N,4o5’E
DURDEN,486,COSDOL,289,47o5’N,15o25’W
DURIDO,2165,KALAMAR,321,32o40’N,1o5’W
DURIDU,578,KALAMAR,318,36o45’N,0o5’W
DURLDEN,499,COSDOL,290,46o20’N,14o10’W
DURVEN,1411,COSDOL,290,49o0’N,14o15’W
DUSATEHIDU,543,KALAMAR,317,36o10’N,3o15’W
DUSPDEN,869,ELDOR,298,42o55’N,17o30’W
DUTUTHIDU,414,KALAMAR,317,36o45’N,1o15’W
DUVIDO,1097,KALAMAR,325,30o45’N,0o10’E
DUWVEN,1339,MENDARN,304,40o5’N,16o40’W
